fiscal_week,2022,2023,2024,2025,2026
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,3,0,0
8,16,0,7,0,0
9,17,6,18,0,0
10,11,10,14,7,0
11,18,37,32,27,0
12,22,15,15,9,0
13,23,15,8,18,0
14,17,7,6,11,0
15,9,11,11,9,0
16,17,10,6,9,0
17,7,4,8,17,0
18,15,5,11,14,0
19,11,9,13,0,1
20,9,5,8,0,0
21,4,15,6,6,0
22,12,3,12,3,2
23,22,17,21,14,3
24,23,25,22,2,6
25,8,16,11,2,3
26,24,21,16,4,1
27,7,23,14,6,2
28,7,12,11,3,0
29,11,10,8,11,0
30,13,20,8,16,3
31,13,10,8,12,30
32,11,6,12,11,0
33,7,24,10,7,5
34,12,16,11,10,3
35,8,25,17,6,7
36,40,20,10,11,22
37,45,24,23,5,21
38,12,16,9,1,18
39,6,22,20,1,25
40,1,13,23,3,37
41,8,4,23,2,50
42,20,18,23,17,17
43,18,14,18,38,23
44,17,17,15,28,17
45,27,24,27,21,14
46,17,19,21,46,
47,27,24,14,44,
48,20,32,30,39,
49,6,11,18,43,
50,9,8,18,51,
51,3,3,18,26,
52,1,0,2,11,
